Date,Fuel_Used_Liters,Coal_Mined_Tonnes,CO2_Emitted_kg,Trapped_Carbon_kg,Potential_CO2_from_Coal_kg
2000-01-01,18884.498121032295,54854.66573686413,50610.45496436655,19199133.007902447,70460818.13900198
2000-01-02,20773.612190408487,47426.03216392797,55673.28067029475,16599111.25737479,60918738.31456548
2000-01-03,16987.590363911335,53441.642370083675,45526.74217528238,18704574.829529285,68645789.62437248
2000-01-04,13201.776953090903,53356.5321096531,35380.76223428362,18674786.238378584,68536465.4948494
2000-01-05,16500.64081073155,54481.81781346591,44221.71737276056,19068636.234713066,69981894.98139696
2000-01-06,22575.065935017614,50380.21615046315,60501.17670584721,17633075.652662102,64713387.645269915
2000-01-07,18745.740026468495,42739.40255497224,50238.58327093557,14958790.894240284,54898762.581861846
2000-01-08,18844.41657934143,58991.38470488524,50503.03643263503,20646984.646709833,75774433.65342508
2000-01-09,21488.48227016976,64442.291522337044,57589.13248405496,22554802.032817964,82776123.46044192
2000-01-10,20735.319679142438,51219.69823336748,55570.65674010174,17926894.38167862,65791702.38076053
2000-01-11,23560.036808174456,67579.85803904753,63140.898645907546,23652950.31366663,86806327.65115653
2000-01-12,23144.323544855608,51111.71385785822,62026.787100213034,17889099.85025038,65652996.45041889
2000-01-13,23326.06298712193,57223.61680121576,62513.84880548678,20028265.880425517,73503735.78116165
2000-01-14,24814.975491762245,65020.58277800411,66504.13431792281,22757203.97230144,83518938.57834628
2000-01-15,22286.624675363833,60018.58215051793,59728.154129975075,21006503.752681274,77093868.77234027
2000-01-16,22001.60430866456,64530.71525045414,58964.299547221024,22585750.337658945,82889703.73920833
2000-01-17,22393.40132766591,59593.069911712446,60014.31555814464,20857574.469099354,76547298.30159463
2000-01-18,24135.63811463672,53998.85798015012,64683.510147226414,18899600.29305254,69361533.07550281
2000-01-19,24789.135133660155,64088.503691774924,66434.88215820922,22430976.292121224,82321682.99208489
2000-01-20,24538.76935303118,69977.52022418984,65763.90186612358,24492132.07846644,89886124.72797184
2000-01-21,21438.49244586549,64518.48251655482,57455.159754919514,22581468.880794186,82873990.79251467
2000-01-22,24897.720798131842,67225.25008050558,66725.89173899335,23528837.528176952,86350833.72840941
2000-01-23,23469.22449508253,66994.39767050032,62897.52164682118,23448039.18467511,86054303.80775765
2000-01-24,23344.49038888619,67229.46121913454,62563.234242214996,23530311.426697087,86356242.93597831
2000-01-25,22150.12928356608,80590.28017065083,59362.346479957094,28206598.05972779,103518214.879201
2000-01-26,24451.692984506535,65144.1694670791,65530.53719847752,22800459.313477684,83677685.68046309
2000-01-27,23709.01104295982,57699.390350260546,63540.14959513232,20194786.62259119,74114866.90490967
2000-01-28,23980.895654828928,63110.05039739678,64268.80035494153,22088517.639088873,81064859.73545617
2000-01-29,28368.654963570105,68234.17003299696,76027.99530236788,23881959.511548936,87646791.40738459
2000-01-30,26216.699292009238,74139.16160824771,70260.75410258476,25948706.562886696,95231753.08579418
2000-01-31,27650.620985911693,60395.14339684936,74103.66424224334,21138300.188897274,77577561.693253
2000-02-01,27288.24408821166,69848.4104283662,73132.49415640725,24446943.649928167,89720283.19523637
2000-02-02,26216.06932138609,69179.78870299987,70259.06578131473,24212926.04604995,88861438.58900331
2000-02-03,25436.032458628873,69602.37481628632,68168.56698912538,24360831.18570021,89404250.45151977
2000-02-04,26675.94608945622,66987.96355034727,71491.53551974268,23445787.24262154,86046039.18042105
2000-02-05,20416.903983592627,70268.66522980672,54717.302676028245,24594032.83043235,90260100.48768672
2000-02-06,25121.01068248587,68026.78432373637,67324.30862906214,23809374.513307728,87380404.46383937
2000-02-07,29545.444316236964,69362.09874358859,79181.79076751506,24276734.560256008,89095615.83613954
2000-02-08,24440.622024205906,70129.54020049547,65500.86702487183,24545339.070173413,90081394.38753642
2000-02-09,28004.58290614025,65537.27228397137,75052.28218845588,22938045.299389977,84182626.2487612
2000-02-10,27722.843182050266,61405.95952514159,74297.21972789471,21492085.833799556,78875955.01004437
2000-02-11,23484.427683543538,71928.04705941824,62938.266191896684,25174816.470796384,92391576.44782272
2000-02-12,28548.561843721105,65014.09843706786,76510.14574117257,22754934.452973753,83510609.44241367
2000-02-13,27649.255992749233,64324.66805180631,74100.00606056795,22513633.818132207,82625036.11254519
2000-02-14,25946.205713024672,67374.13846256022,69535.83131090613,23580948.461896077,86542080.8551586
2000-02-15,27045.934319718108,64609.25769610823,72483.10397684453,22613240.193637878,82990591.510651
2000-02-16,28066.203176758845,74182.68544044941,75217.4245137137,25963939.90415729,95287659.44825725
2000-02-17,31008.550113327485,66307.05441220233,83102.91430371767,23207469.044270813,85171411.39247388
2000-02-18,29521.772199590738,71507.70595657056,79118.34949490319,25027697.084799692,91851648.30121487
2000-02-19,29563.438518205116,76184.81307126774,79230.0152287897,26664684.574943706,97859392.39004341
2000-02-20,27707.418913007514,70724.76005825077,74255.88268686015,24753666.02038777,90845954.29482311
2000-02-21,26977.442618531117,63141.58921153704,72299.5462176634,22099556.22403796,81105371.34221931
2000-02-22,27865.295330408797,74693.80671260373,74678.99148549559,26142832.349411305,95944194.72233948
2000-02-23,30616.59073646549,78380.3565550137,82052.46317372752,27433124.794254795,100679567.9949151
2000-02-24,25756.359153412363,62220.08795142233,69027.04253114514,21777030.782997813,79921702.97360197
2000-02-25,29922.96129207772,71964.63226122974,80193.5362627683,25187621.291430406,92438570.13954958
2000-02-26,29411.968394460015,70815.60868127791,78824.07529715284,24785463.03844727,90962649.35110147
2000-02-27,26106.37146702531,69703.65129787328,69965.07553162784,24396277.954255644,89534340.09211822
2000-02-28,30283.989689647216,62653.94648943698,81161.09236825454,21928881.271302942,80478994.2656818
2000-02-29,27976.80822745268,72085.41205610224,74977.84604957319,25229894.219635785,92593711.78606333
2000-03-01,30170.74731799031,65750.20683737459,80857.60281221404,23012572.393081103,84456140.68260765
2000-03-02,29599.934409221372,73009.67608131494,79327.82421671328,25553386.628460232,93780928.92644905
2000-03-03,27235.486322185643,65174.85850797766,72991.10334345752,22811200.477792177,83717105.75349729
2000-03-04,31717.911077710443,65263.742223531,85004.00168826399,22842309.77823585,83831276.88612556
2000-03-05,31485.569272821096,62502.30051807395,84381.32565116054,21875805.18132588,80284205.01546597
2000-03-06,30284.119184542957,62156.96341959619,81161.43941457513,21754937.196858667,79840619.5124713
2000-03-07,29056.942641589583,74826.65632048441,77872.60627946009,26189329.712169543,96114840.04366222
2000-03-08,32370.09418933741,64489.70199054206,86751.85242742427,22571395.69668972,82837022.20685127
2000-03-09,32918.90071721783,69321.50653371721,88222.6539221438,24262527.286801025,89043475.14255977
2000-03-10,32427.62572313803,56579.16582650106,86906.03693800993,19802708.03927537,72675938.50414062
2000-03-11,28271.427268897827,63090.09998383012,75767.42508064618,22081534.994340543,81039233.4292298
2000-03-12,28456.62992706536,59484.41245420014,76263.76820453517,20819544.358970046,76407727.79742007
2000-03-13,27709.862952111715,54768.74446994992,74262.43271165939,19169060.56448247,70350452.27165066
2000-03-14,25939.848956779424,70544.60445325912,69518.79520416885,24690611.558640692,90614544.42021134
2000-03-15,28203.568958536107,51098.92695938362,75585.56480887678,17884624.435784265,65636571.679328255
2000-03-16,29221.0741012412,59540.82545160891,78312.47859132642,20839288.908063114,76480190.29259163
2000-03-17,28409.55503352524,62906.30751669088,76137.60748984765,22017207.630841807,80803152.00518943
2000-03-18,30713.94477547988,52316.80082677796,82313.37199828608,18310880.289372284,67200930.66199628
